Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
30,1.0,0.0,0.0,446.0,10.0,54.0,1534.0,0.1,6.849999999999998,0.0,0.0,325.4625024795532,,,,,,,,,,,,,,,,,,,,,4.599029298503831,1.82957054359864,6.935360937779352,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,488.0,11.0,42.0,1576.0,0.1,2.6499999999999995,0.0,0.0,329.79194021224976,,,,,,,,,,,,,,,,,,,,,1.6756144159267565,0.9958742840320873,3.0200835268434676,-0.19990000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,533.0,12.0,45.0,1621.0,0.1,0.9999999999999997,0.0,0.0,334.5388367176056,,,,,,,,,,,,,,,,,,,,,0.9829549483981577,0.420448462644683,1.77726728951418,-0.19990000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,579.0,13.0,46.0,1667.0,0.1,3.15,0.0,0.0,339.43290972709656,,,,,,,,,,,,,,,,,,,,,2.4467309319426334,0.7442718558607597,3.094297261736345,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,619.0,14.0,40.0,1707.0,0.1,2.8499999999999988,0.0,0.0,343.6935796737671,,,,,,,,,,,,,,,,,,,,,1.4395052779821185,0.5763422617567888,2.7980130169015007,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,648.0,15.0,29.0,1736.0,0.1,3.5,0.0,0.0,346.8942151069641,,,,,,,,,,,,,,,,,,,,,1.990181270551803,0.9401148757842297,3.449179653280906,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,675.0,16.0,27.0,1763.0,0.1,2.8,0.0,0.0,349.953134059906,,,,,,,,,,,,,,,,,,,,,1.835068405899932,0.7102500844313788,2.819030310648269,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,711.0,17.0,36.0,1799.0,0.1,0.09999999999999992,0.0,0.0,354.08242750167847,,,,,,,,,,,,,,,,,,,,,-0.16789533309474933,0.24557313082230456,0.30592010240578715,-0.6467619715439044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,740.0,18.0,29.0,1828.0,0.1,0.3500000000000001,0.0,0.0,357.37612557411194,,,,,,,,,,,,,,,,,,,,,0.5753680920474632,0.3459939990179053,1.1929750989052024,-0.19990000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,838.0,19.0,98.0,1926.0,0.1,5.149999999999999,0.0,0.0,367.46284341812134,,,,,,,,,,,,,,,,,,,,,2.2297638170552894,1.2094324907590814,4.941360926420496,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,888.0,20.0,50.0,1976.0,0.1,3.1999999999999997,0.0,0.0,372.98051834106445,,,,,,,,,,,,,,,,,,,,,2.0139615689806094,0.9615285306067173,3.2973134379505527,0.2974551952020996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,34.0,1.0,34.0,2010.0,0.1,2.099999999999999,0.0,0.0,510.6423075199127,,,,,,,,,,,,,,,,,,,,,0.9940506488790217,0.514513667465883,2.070340889375976,-0.05079830129965002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,61.0,2.0,27.0,2037.0,0.1,3.7000000000000006,0.0,0.0,513.7957181930542,,,,,,,,,,,,,,,,,,,,,1.626876647860271,1.4375749309542483,3.6633974620343794,-0.4990009995001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,164.0,3.0,103.0,2140.0,0.1,10.049999999999997,0.0,0.0,524.5154089927673,,,,,,,,,,,,,,,,,,,,,6.155159113439874,2.841547316433447,9.87371499136587,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,194.0,4.0,30.0,2170.0,0.1,4.75,0.0,0.0,527.7657740116119,,,,,,,,,,,,,,,,,,,,,2.80589003370807,1.5563441042756987,4.989823567966302,0.14940034999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,260.0,5.0,66.0,2236.0,0.1,7.899999999999998,0.0,0.0,534.7128534317017,,,,,,,,,,,,,,,,,,,,,4.615622137250327,2.231585152771678,7.610582493345676,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,286.0,6.0,26.0,2262.0,0.1,1.5499999999999998,0.0,0.0,537.6071879863739,,,,,,,,,,,,,,,,,,,,,1.4769026675029677,0.5625541166620203,2.185761518349878,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,339.0,7.0,53.0,2315.0,0.1,3.7999999999999985,0.0,0.0,543.3460099697113,,,,,,,,,,,,,,,,,,,,,1.6795283378950394,1.0104893927361753,3.7184181159052567,0.14940034999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,370.0,8.0,31.0,2346.0,0.1,4.6499999999999995,0.0,0.0,546.7051985263824,,,,,,,,,,,,,,,,,,,,,2.7710352061374235,1.256837246619412,4.5732398149999245,0.24964999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,391.0,9.0,21.0,2367.0,0.1,3.4000000000000004,0.0,0.0,549.0404987335205,,,,,,,,,,,,,,,,,,,,,1.8076154885632594,1.1204096173117024,3.3687742544748662,-0.19990000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,432.0,10.0,41.0,2408.0,0.1,3.1999999999999997,0.0,0.0,553.4936013221741,,,,,,,,,,,,,,,,,,,,,1.8742387386758084,1.3020052024599595,3.466905519974487,-0.10179266318695696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,477.0,11.0,45.0,2453.0,0.1,7.3,0.0,0.0,558.2743926048279,,,,,,,,,,,,,,,,,,,,,3.4494776226024277,1.8655482347175476,7.159084516932238,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,506.0,12.0,29.0,2482.0,0.1,2.1499999999999995,0.0,0.0,561.6058843135834,,,,,,,,,,,,,,,,,,,,,1.5597756516238617,0.7716839507545763,2.4768329557020943,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,536.0,13.0,30.0,2512.0,0.1,4.3,0.0,0.0,565.060709476471,,,,,,,,,,,,,,,,,,,,,3.0838559938075902,1.2376857075922068,4.738558381314861,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,578.0,14.0,42.0,2554.0,0.1,6.699999999999999,0.0,0.0,569.531546831131,,,,,,,,,,,,,,,,,,,,,3.2954289625036486,2.0749481108652486,6.574734878597161,-0.19990000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,630.0,15.0,52.0,2606.0,0.1,4.350000000000002,0.0,0.0,575.0701413154602,,,,,,,,,,,,,,,,,,,,,1.6166513984705952,1.5795526417875954,4.483341009098751,-0.20169087052377005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,661.0,16.0,31.0,2637.0,0.1,4.6499999999999995,0.0,0.0,578.6611194610596,,,,,,,,,,,,,,,,,,,,,2.7279663557784897,1.238550718305515,4.574577623640524,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,731.0,17.0,70.0,2707.0,0.1,5.25,0.0,0.0,585.9273223876953,,,,,,,,,,,,,,,,,,,,,2.6071497919804,1.500675074476363,5.1828325689533585,-0.25014900099984977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,772.0,18.0,41.0,2748.0,0.1,5.899999999999998,0.0,0.0,590.3410756587982,,,,,,,,,,,,,,,,,,,,,3.0600040237985433,1.4291404855705225,5.891998259700581,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,818.0,19.0,46.0,2794.0,0.1,4.049999999999999,0.0,0.0,595.2565443515778,,,,,,,,,,,,,,,,,,,,,2.149195476277812,1.239933211852712,3.959051151342755,-0.05079830129965002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,842.0,20.0,24.0,2818.0,0.1,3.1,0.0,0.0,598.0168097019196,,,,,,,,,,,,,,,,,,,,,1.9243956505781787,0.7335181183245174,3.163094401470425,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,30.0,1.0,30.0,2848.0,0.1,2.9499999999999993,0.0,0.0,732.8649969100952,,,,,,,,,,,,,,,,,,,,,1.4243577222449344,0.8908400344529305,3.119227876846569,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,85.0,2.0,55.0,2903.0,0.1,6.750000000000001,0.0,0.0,739.0115056037903,,,,,,,,,,,,,,,,,,,,,3.006311448933807,1.7754686608186792,6.597841956379441,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,148.0,3.0,63.0,2966.0,0.1,6.400000000000004,0.0,0.0,745.5852160453796,,,,,,,,,,,,,,,,,,,,,3.0924299674458187,2.0693672902825972,6.217605906257521,-0.19990000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,189.0,4.0,41.0,3007.0,0.1,5.000000000000001,0.0,0.0,749.9409642219543,,,,,,,,,,,,,,,,,,,,,2.384632162715927,1.6171474770276444,5.017066334149157,0.04925094964999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,211.0,5.0,22.0,3029.0,0.1,4.6499999999999995,0.0,0.0,752.3615155220032,,,,,,,,,,,,,,,,,,,,,2.619863908764162,1.3894751199622424,4.601561515476625,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,244.0,6.0,33.0,3062.0,0.1,5.3500000000000005,0.0,0.0,755.9570233821869,,,,,,,,,,,,,,,,,,,,,2.521885831744654,1.938977357245976,5.488198052421101,-0.39940039990000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,329.0,7.0,85.0,3147.0,0.1,11.399999999999999,0.0,0.0,764.686190366745,,,,,,,,,,,,,,,,,,,,,6.14025825568393,3.1611727677792922,10.899866882164313,0.24964999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,361.0,8.0,32.0,3179.0,0.1,4.55,0.0,0.0,768.1409904956818,,,,,,,,,,,,,,,,,,,,,2.66853313419704,1.2555037239975633,4.578127692979683,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,392.0,9.0,31.0,3210.0,0.1,6.899999999999999,0.0,0.0,771.5632829666138,,,,,,,,,,,,,,,,,,,,,3.0928147427533186,2.06418149326449,6.8177514280793785,0.24964999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,426.0,10.0,34.0,3244.0,0.1,3.9,0.0,0.0,775.2873339653015,,,,,,,,,,,,,,,,,,,,,1.9508300180983984,1.1323189168704344,3.8413506393126395,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,488.0,11.0,62.0,3306.0,0.1,9.199999999999998,0.0,0.0,782.2332575321198,,,,,,,,,,,,,,,,,,,,,4.9132026102315685,2.6229144115847594,8.913198922812345,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,516.0,12.0,28.0,3334.0,0.1,4.5,0.0,0.0,785.5185723304749,,,,,,,,,,,,,,,,,,,,,3.277984891966974,1.5448147092495061,5.04574699326978,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,556.0,13.0,40.0,3374.0,0.1,4.650000000000001,0.0,0.0,789.8469626903534,,,,,,,,,,,,,,,,,,,,,1.925896868510303,1.5092050738326614,4.5821237907172305,-0.19990000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,582.0,14.0,26.0,3400.0,0.1,3.3499999999999996,0.0,0.0,792.7254514694214,,,,,,,,,,,,,,,,,,,,,1.874370353209378,1.006109035260831,3.514804915605188,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,627.0,15.0,45.0,3445.0,0.1,4.6,0.0,0.0,797.6215274333954,,,,,,,,,,,,,,,,,,,,,3.0135852249147246,1.4524634480481036,4.794252771318858,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,669.0,16.0,42.0,3487.0,0.1,4.450000000000001,0.0,0.0,802.2967338562012,,,,,,,,,,,,,,,,,,,,,1.8823981154103808,1.563908379371894,4.693460694429209,-0.2997001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,694.0,17.0,25.0,3512.0,0.1,2.9999999999999996,0.0,0.0,805.4136295318604,,,,,,,,,,,,,,,,,,,,,1.4832914278378724,1.0463353715313757,3.0719243747270344,0.09696058226689058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,726.0,18.0,32.0,3544.0,0.1,5.899999999999999,0.0,0.0,809.1443395614624,,,,,,,,,,,,,,,,,,,,,2.9630804308628695,1.6737057688942212,5.8168092278588786,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,769.0,19.0,43.0,3587.0,0.1,5.699999999999999,0.0,0.0,813.8754880428314,,,,,,,,,,,,,,,,,,,,,2.9519119219971457,1.7048114962274885,5.584230664452362,0.24964999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
